name,city,state,zipcode,address1,address2,category1_id,category2_id,category3_id,category1,category2,category3,phone,website,latitude,longitude
Centable Deals,Great Neck,NY,11022,po box 222224,Not Available,0,0,0,Shopping & Stores,"Gift, Novelty, and Souvenir Shops",Collectibles,0,stores.ebay.com/centable-deals,40.80072021,-73.728
Jno Marketing Communications,New York City,NY,10001,315 8th Avenue Apartment 5a,Not Available,0,0,0,Telecommunications & Wireless,"Communications Services, NEC",Communications,2126207328,Not Available,40.746961,-73.997478
Technical Electrical Construction,New York City,NY,10001,481 8th Avenue,Not Available,0,0,0,Electrical,Electrical Work,Electrical Contractors,2126431258,Not Available,40.752239,-73.993512
Cold Spring Limousines,Plainview,NY,11803,50 Commercial St,Not Available,0,0,0,Passenger Car Leasing,"Local Passenger Transportation, NEC",Limousine Services,6316731012,Not Available,40.78926,-73.46562
M Hartman LLC,Valley Stream,NY,11581,856 Crestview Avenue,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Unclassified,5167912732,Not Available,40.646679,-73.730433
Scotch Bonnet,New York City,NY,10001,32 West 31st St,Not Available,0,0,0,Restaurants & Bars,Restaurants,Restaurants,2125947575,Not Available,40.74703,-73.98712
Toberoff Marc,New York City,NY,10019,154 West 57th St # 112,Not Available,0,0,0,Media,Motion Picture and Video Tape Production,Motion Picture Production and Distributors,2123151060,Not Available,40.7652,-73.9794
Center Drive Title Holder Lp,New York City,NY,10001,7 Penn Plaza # 512,Not Available,0,0,0,Real Estate,Real Estate Agents and Managers,Real Estate Buying Agents,2126891233,Not Available,40.748847,-73.992397
Special Interiors,New York City,NY,10017,380 Madison Avenue,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Interior Decorators Design and Consultants,2128564400,Not Available,40.755549,-73.977359
Aftra Health & Retirement Fund,New York City,NY,10016,261 Madison Avenue,Not Available,0,0,0,Insurance,"Insurance Agents, Brokers, and Service","Insurance Agents, Nec",2126727330,Not Available,40.750863,-73.980621
Demele Distribution Inc,Elmont,NY,11003,11546 238th St,Not Available,0,0,0,Machinery & Equipment,Industrial Supplies,Wholesale Industrial Equipment and Supplies,7182721398,Not Available,40.69334,-73.724626
Grayson Frank L DC,Rochester,NY,14618,121 Rue De Ville,Not Available,0,0,0,Healthcare,Offices and Clinics of Chiropractors,Chiropractors,5852716080,graysonchiro.com,43.12217,-77.5921
Northern Business Systems,New York City,NY,10018,45 West 36th St,Not Available,0,0,0,Other Business Services,Office Equipment,Copy Machines and Supplies,2127369200,Not Available,40.750382,-73.985024
Campos Cleaning Service Inc,Freeport,NY,11520,25 Bedell St,Not Available,0,0,0,Other Business Services,"Building Cleaning and Maintenance Services, NEC",Industrial Cleaning Services,5167718125,camposcleaning.com,40.653144,-73.578563
Cab Fine Art Services,New York City,NY,10030,2649 Frederick Douglass,Not Available,0,0,0,Passenger Car Leasing,Taxicabs,Taxis and Transportation Services,4042902822,Not Available,40.820643,-73.943728
Smeco Sales Inc,Hicksville,NY,11801,21 Field Avenue,Not Available,0,0,0,Transportation & Shipping,Motor Vehicle Supplies and New Parts,Motor Vehicle Supplies and New Parts,5164336553,Not Available,40.764409,-73.503033
Silva Communications,Farmingdale,NY,11735,55 Central Avenue,Not Available,0,0,0,Telecommunications & Wireless,"Communications Services, NEC",Communications,5165010661,Not Available,40.752922,-73.413485
Chen Ya Li MD,Rochester,NY,14626,2300 West Ridge Road,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,5859228350,rochestergeneral.org,43.20886,-77.68886
Cudlie Accessories Inc,New York City,NY,10016,1 East 33rd St Floor 7,Not Available,0,0,0,Apparel,"Women's, Children's, and Infants' Clothing and Accessories",Wholesale Women's Apparel,2126893508,Not Available,40.747823,-73.984805
B & H Printing,Island Park,NY,11558,4410 Austin Boulevard # A,Not Available,0,0,0,Printing & Publishing,"Commercial Printing, Lithographic",Offset Printing,5168891636,Not Available,40.60197,-73.65274
Advanced Auto Ins Agy Inc,Rochester,NY,14626,1363 Long Pond Road,Not Available,0,0,0,Insurance,"Insurance Agents, Brokers, and Service",Insurance Companies,5852252560,advancedinsuranceagency.net,43.20316,-77.69744
New Leader,New York City,NY,10027,535 West 114th St,Not Available,0,0,0,Printing & Publishing,"Periodicals: Publishing, or Publishing and Printing",Magazine Publishers,2128541640,thenewleader.com,40.80609,-73.96324
Van Vort Christina,Great Neck,NY,11021,111 Great Neck Road # 503,Not Available,0,0,0,Legal,Legal Services,Legal Services,5163932269,Not Available,40.785972,-73.727994
